date_id,date,year,quarter,month,month_name,week,day,day_name,is_weekend,fiscal_year
337,2022-12-03,2022,4,12,December,48,3,Saturday,True,2022
338,2022-12-04,2022,4,12,December,48,4,Sunday,True,2022
339,2022-12-05,2022,4,12,December,49,5,Monday,False,2022
340,2022-12-06,2022,4,12,December,49,6,Tuesday,False,2022
341,2022-12-07,2022,4,12,December,49,7,Wednesday,False,2022
342,2022-12-08,2022,4,12,December,49,8,Thursday,False,2022
343,2022-12-09,2022,4,12,December,49,9,Friday,False,2022
344,2022-12-10,2022,4,12,December,49,10,Saturday,True,2022
345,2022-12-11,2022,4,12,December,49,11,Sunday,True,2022
346,2022-12-12,2022,4,12,December,50,12,Monday,False,2022
347,2022-12-13,2022,4,12,December,50,13,Tuesday,False,2022
348,2022-12-14,2022,4,12,December,50,14,Wednesday,False,2022
349,2022-12-15,2022,4,12,December,50,15,Thursday,False,2022
350,2022-12-16,2022,4,12,December,50,16,Friday,False,2022
351,2022-12-17,2022,4,12,December,50,17,Saturday,True,2022
352,2022-12-18,2022,4,12,December,50,18,Sunday,True,2022
353,2022-12-19,2022,4,12,December,51,19,Monday,False,2022
354,2022-12-20,2022,4,12,December,51,20,Tuesday,False,2022
355,2022-12-21,2022,4,12,December,51,21,Wednesday,False,2022
356,2022-12-22,2022,4,12,December,51,22,Thursday,False,2022
357,2022-12-23,2022,4,12,December,51,23,Friday,False,2022
358,2022-12-24,2022,4,12,December,51,24,Saturday,True,2022
359,2022-12-25,2022,4,12,December,51,25,Sunday,True,2022
360,2022-12-26,2022,4,12,December,52,26,Monday,False,2022
361,2022-12-27,2022,4,12,December,52,27,Tuesday,False,2022
362,2022-12-28,2022,4,12,December,52,28,Wednesday,False,2022
363,2022-12-29,2022,4,12,December,52,29,Thursday,False,2022
364,2022-12-30,2022,4,12,December,52,30,Friday,False,2022
365,2022-12-31,2022,4,12,December,52,31,Saturday,True,2022
366,2023-01-01,2023,1,1,January,52,1,Sunday,True,2022
367,2023-01-02,2023,1,1,January,1,2,Monday,False,2022
368,2023-01-03,2023,1,1,January,1,3,Tuesday,False,2022
369,2023-01-04,2023,1,1,January,1,4,Wednesday,False,2022
370,2023-01-05,2023,1,1,January,1,5,Thursday,False,2022
371,2023-01-06,2023,1,1,January,1,6,Friday,False,2022
372,2023-01-07,2023,1,1,January,1,7,Saturday,True,2022
373,2023-01-08,2023,1,1,January,1,8,Sunday,True,2022
374,2023-01-09,2023,1,1,January,2,9,Monday,False,2022
375,2023-01-10,2023,1,1,January,2,10,Tuesday,False,2022
376,2023-01-11,2023,1,1,January,2,11,Wednesday,False,2022
377,2023-01-12,2023,1,1,January,2,12,Thursday,False,2022
378,2023-01-13,2023,1,1,January,2,13,Friday,False,2022
379,2023-01-14,2023,1,1,January,2,14,Saturday,True,2022
380,2023-01-15,2023,1,1,January,2,15,Sunday,True,2022
381,2023-01-16,2023,1,1,January,3,16,Monday,False,2022
382,2023-01-17,2023,1,1,January,3,17,Tuesday,False,2022
383,2023-01-18,2023,1,1,January,3,18,Wednesday,False,2022
384,2023-01-19,2023,1,1,January,3,19,Thursday,False,2022
385,2023-01-20,2023,1,1,January,3,20,Friday,False,2022
386,2023-01-21,2023,1,1,January,3,21,Saturday,True,2022
387,2023-01-22,2023,1,1,January,3,22,Sunday,True,2022
388,2023-01-23,2023,1,1,January,4,23,Monday,False,2022
389,2023-01-24,2023,1,1,January,4,24,Tuesday,False,2022
390,2023-01-25,2023,1,1,January,4,25,Wednesday,False,2022
391,2023-01-26,2023,1,1,January,4,26,Thursday,False,2022
392,2023-01-27,2023,1,1,January,4,27,Friday,False,2022
393,2023-01-28,2023,1,1,January,4,28,Saturday,True,2022
394,2023-01-29,2023,1,1,January,4,29,Sunday,True,2022
395,2023-01-30,2023,1,1,January,5,30,Monday,False,2022
396,2023-01-31,2023,1,1,January,5,31,Tuesday,False,2022
397,2023-02-01,2023,1,2,February,5,1,Wednesday,False,2022
398,2023-02-02,2023,1,2,February,5,2,Thursday,False,2022
399,2023-02-03,2023,1,2,February,5,3,Friday,False,2022
400,2023-02-04,2023,1,2,February,5,4,Saturday,True,2022
401,2023-02-05,2023,1,2,February,5,5,Sunday,True,2022
402,2023-02-06,2023,1,2,February,6,6,Monday,False,2022
403,2023-02-07,2023,1,2,February,6,7,Tuesday,False,2022
404,2023-02-08,2023,1,2,February,6,8,Wednesday,False,2022
405,2023-02-09,2023,1,2,February,6,9,Thursday,False,2022
406,2023-02-10,2023,1,2,February,6,10,Friday,False,2022
407,2023-02-11,2023,1,2,February,6,11,Saturday,True,2022
408,2023-02-12,2023,1,2,February,6,12,Sunday,True,2022
409,2023-02-13,2023,1,2,February,7,13,Monday,False,2022
410,2023-02-14,2023,1,2,February,7,14,Tuesday,False,2022
411,2023-02-15,2023,1,2,February,7,15,Wednesday,False,2022
412,2023-02-16,2023,1,2,February,7,16,Thursday,False,2022
413,2023-02-17,2023,1,2,February,7,17,Friday,False,2022
414,2023-02-18,2023,1,2,February,7,18,Saturday,True,2022
415,2023-02-19,2023,1,2,February,7,19,Sunday,True,2022
416,2023-02-20,2023,1,2,February,8,20,Monday,False,2022
417,2023-02-21,2023,1,2,February,8,21,Tuesday,False,2022
418,2023-02-22,2023,1,2,February,8,22,Wednesday,False,2022
419,2023-02-23,2023,1,2,February,8,23,Thursday,False,2022
420,2023-02-24,2023,1,2,February,8,24,Friday,False,2022
421,2023-02-25,2023,1,2,February,8,25,Saturday,True,2022
422,2023-02-26,2023,1,2,February,8,26,Sunday,True,2022
423,2023-02-27,2023,1,2,February,9,27,Monday,False,2022
424,2023-02-28,2023,1,2,February,9,28,Tuesday,False,2022
425,2023-03-01,2023,1,3,March,9,1,Wednesday,False,2022
426,2023-03-02,2023,1,3,March,9,2,Thursday,False,2022
427,2023-03-03,2023,1,3,March,9,3,Friday,False,2022
428,2023-03-04,2023,1,3,March,9,4,Saturday,True,2022
429,2023-03-05,2023,1,3,March,9,5,Sunday,True,2022
430,2023-03-06,2023,1,3,March,10,6,Monday,False,2022
431,2023-03-07,2023,1,3,March,10,7,Tuesday,False,2022
432,2023-03-08,2023,1,3,March,10,8,Wednesday,False,2022
